"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","340.00","340.00","340.00","340.00","0.05K","0.00%"
"01/04/2024","340.00","340.00","340.00","340.00","0.01K","0.29%"
"01/03/2024","339.00","340.00","340.00","323.50","2.11K","0.30%"
"01/02/2024","338.00","339.00","340.00","338.00","0.05K","-0.15%"
"12/29/2023","338.50","339.00","339.00","338.50","0.24K","-0.15%"
"12/28/2023","339.00","345.00","345.00","338.00","1.52K","-1.74%"
"12/27/2023","345.00","340.00","345.00","340.00","0.01K","2.99%"
"12/22/2023","335.00","345.00","345.00","335.00","0.06K","-2.90%"
"12/21/2023","345.00","345.00","345.00","344.75","5.31K","0.00%"
"12/20/2023","345.00","345.00","345.00","345.00","0.27K","0.00%"
"12/19/2023","345.00","350.00","350.00","345.00","0.15K","-1.43%"
"12/15/2023","350.00","359.75","359.75","350.00","0.09K","0.00%"
"12/14/2023","350.00","350.00","350.00","350.00","0.00K","0.00%"
"12/13/2023","350.00","345.00","350.00","345.00","0.22K","0.00%"
"12/12/2023","350.00","360.00","360.00","344.25","3.34K","-2.51%"
"12/11/2023","359.00","360.00","360.00","359.00","10.62K","-0.83%"
"12/08/2023","362.00","360.00","362.00","359.25","0.93K","0.56%"
"12/07/2023","360.00","361.00","361.00","360.00","0.04K","0.00%"
"12/06/2023","360.00","361.00","362.50","360.00","3.24K","0.00%"
"12/05/2023","360.00","365.00","365.00","360.00","63.58K","-0.28%"
"12/04/2023","361.00","360.00","362.00","360.00","0.04K","0.28%"
"12/01/2023","360.00","362.00","362.00","360.00","25.00K","-0.55%"
"11/30/2023","362.00","362.00","362.00","360.25","0.05K","-0.55%"
"11/29/2023","364.00","364.00","364.00","356.50","0.29K","0.55%"
"11/28/2023","362.00","362.25","365.00","360.00","104.44K","-1.90%"
"11/27/2023","369.00","375.00","375.00","369.00","0.23K","2.50%"
"11/24/2023","360.00","377.00","377.00","360.00","1.01K","-2.70%"
"11/23/2023","370.00","369.50","370.00","369.50","0.00K","1.23%"
"11/22/2023","365.50","369.75","370.00","365.50","0.37K","-0.95%"
"11/21/2023","369.00","370.00","370.00","365.00","50.06K","2.50%"
"11/20/2023","360.00","365.50","365.50","360.00","4.70K","-2.70%"
"11/17/2023","370.00","391.50","391.50","370.00","0.06K","-1.33%"
"11/16/2023","375.00","375.00","375.00","375.00","0.08K","0.47%"
"11/15/2023","373.25","380.00","380.00","373.25","0.12K","-0.47%"
"11/14/2023","375.00","375.00","375.00","375.00","0.19K","0.00%"
"11/13/2023","375.00","374.25","375.00","374.25","0.09K","1.15%"
"11/10/2023","370.75","374.25","374.25","370.75","0.01K","-0.74%"
"11/09/2023","373.50","374.00","374.50","373.50","0.15K","0.95%"
"11/08/2023","370.00","370.00","370.00","362.75","0.62K","-0.07%"
"11/07/2023","370.25","370.00","375.25","370.00","187.69K","-1.20%"
"11/06/2023","374.75","375.00","375.00","374.75","0.63K","-0.07%"
"11/03/2023","375.00","375.00","378.50","373.50","9.89K","0.00%"
"11/02/2023","375.00","380.00","383.75","372.50","5.35K","1.08%"
"11/01/2023","371.00","389.00","389.00","371.00","0.33K","-4.81%"
"10/31/2023","389.75","390.00","390.00","389.25","0.06K","-0.06%"
"10/30/2023","390.00","395.00","395.00","390.00","0.18K","-1.20%"
"10/27/2023","394.75","388.00","395.00","388.00","0.02K","-0.06%"
"10/25/2023","395.00","395.00","395.00","395.00","0.02K","1.28%"
"10/24/2023","390.00","390.00","390.00","388.00","15.29K","0.45%"
"10/23/2023","388.25","386.00","390.00","381.25","3.63K","0.06%"
"10/20/2023","388.00","389.75","390.25","388.00","0.62K","0.00%"
"10/19/2023","388.00","395.00","395.00","388.00","1.01K","-0.58%"
"10/18/2023","390.25","400.00","400.00","390.25","15.86K","-2.44%"
"10/17/2023","400.00","368.00","400.00","368.00","31.72K","8.11%"
"10/16/2023","370.00","363.00","370.00","363.00","1.31K","1.93%"
"10/13/2023","363.00","357.00","363.25","356.75","9.97K","2.40%"
"10/12/2023","354.50","355.00","356.50","354.50","0.17K","0.28%"
"10/11/2023","353.50","345.50","353.75","345.50","1.89K","0.86%"
"10/10/2023","350.50","346.00","350.50","346.00","0.00K","1.45%"
"10/09/2023","345.50","346.50","347.00","345.50","0.06K","-1.57%"
"10/06/2023","351.00","352.00","352.00","346.50","0.02K","1.74%"
"10/05/2023","345.00","353.00","354.75","345.00","0.15K","-1.15%"
"10/04/2023","349.00","348.00","349.00","344.00","9.71K","0.22%"
"10/03/2023","348.25","350.00","350.00","348.00","4.22K","-0.78%"
"10/02/2023","351.00","353.75","353.75","351.00","5.01K","-0.28%"
"09/27/2023","352.00","350.00","355.00","350.00","0.19K","2.03%"
"09/26/2023","345.00","355.00","355.00","345.00","5.02K","-2.68%"
"09/25/2023","354.50","355.00","355.00","352.50","0.18K","1.36%"
"09/22/2023","349.75","352.00","355.00","349.75","5.04K","-0.64%"
"09/21/2023","352.00","349.00","355.00","349.00","30.86K","0.79%"
"09/20/2023","349.25","349.25","349.25","349.25","0.00K","2.65%"
"09/19/2023","340.25","349.00","349.00","340.25","0.01K","0.07%"
"09/18/2023","340.00","342.00","345.00","338.00","0.10K","-0.66%"
"09/15/2023","342.25","348.50","348.50","341.00","0.06K","-1.65%"
"09/14/2023","348.00","348.00","350.00","348.00","2.56K","-0.29%"
"09/13/2023","349.00","349.75","350.00","338.00","0.03K","3.95%"
"09/12/2023","335.75","335.50","340.75","335.50","0.13K","-2.68%"
"09/11/2023","345.00","348.00","348.00","345.00","0.03K","-1.43%"
"09/08/2023","350.00","332.25","350.00","332.00","15.00K","2.94%"
"09/07/2023","340.00","337.75","340.00","335.00","0.59K","0.00%"
"09/06/2023","340.00","340.00","340.00","335.50","0.20K","0.59%"
"09/05/2023","338.00","340.00","340.00","338.00","0.02K","-2.03%"
"09/04/2023","345.00","331.50","345.00","331.50","1.01K","2.99%"
